phish_id,host,url,submission_time,target,online,httpstatus,phish_detail_url
12554,me-lza-bor.com,http://me-lza-bor.com/,2018-01-08 17:01:34,UBS,dnserror,0,http://melani.admin.ch/
12553,magasines441.ukit.me,http://magasines441.ukit.me/,2018-01-08 15:46:02,Infomaniak,offline,410,http://melani.admin.ch/
12552,alternativaradiocr.com,https://alternativaradiocr.com/.msges/,2018-01-08 15:44:53,E-Mail Provider,offline,404,http://melani.admin.ch/
12551,mine-absicherung.com,https://mine-absicherung.com,2018-01-08 14:12:33,UBS,dnserror,0,http://melani.admin.ch/
12550,delkafo.com,http://delkafo.com/6da45edbafcab88909598d961f7c0fd9/,2018-01-08 14:12:30,UBS,offline,503,http://melani.admin.ch/
12549,ni1407773-1.web13.nitrado.hosting,http://ni1407773-1.web13.nitrado.hosting/bs/videos/,2018-01-08 14:12:18,UBS,offline,404,http://melani.admin.ch/
12548,dentobizz.co.in,http://dentobizz.co.in/ch.html,2018-01-08 14:12:12,UBS,offline,500,http://melani.admin.ch/
12547,winybar.com,http://winybar.com/pdf/ubch,2018-01-08 12:07:29,UBS,offline,404,http://melani.admin.ch/
12546,www.yourbedroomspices.com,http://www.yourbedroomspices.com/UB/,2018-01-08 12:07:24,UBS,offline,500,http://melani.admin.ch/
12545,31.14.133.147,http://31.14.133.147/1/,2018-01-08 11:32:01,UBS,offline,500,http://melani.admin.ch/
12544,ubs-schild.com,https://ubs-schild.com,2018-01-08 10:59:50,UBS,offline,500,http://melani.admin.ch/
12543,consultancy.birn.eu.com,http://consultancy.birn.eu.com/5b78643c176579c94b3527a4e42795da/,2018-01-08 10:59:46,UBS,offline,404,http://melani.admin.ch/
12542,bumisentosa.com,https://bumisentosa.com/RTL/norge/Norgesecure/Norge/,2018-01-08 09:56:48,Netflix,offline,500,http://melani.admin.ch/
12541,veaulecoup.com,http://veaulecoup.com/terms-condition/,2018-01-08 09:56:34,Netflix,online,200,http://melani.admin.ch/
12540,operating-refinements-enhancements.deaftone.com,http://operating-refinements-enhancements.deaftone.com/cutomer1/nummer-translated/deskscene-management/,2018-01-08 09:07:50,Apple,dnserror,0,http://melani.admin.ch/
12539,intesasanpaolodisicurezzainlinea.nuovosistema.site,https://intesasanpaolodisicurezzainlinea.nuovosistema.site/register/portal-retail/main.app/,2018-01-08 05:49:00,Intesa Sanpaolo,offline,302,http://melani.admin.ch/
12538,www.aarkstore.com,http://www.aarkstore.com/invoice/,2018-01-08 05:48:29,PayPal,offline,404,http://melani.admin.ch/
12537,suspended-account.twm.ind.br,https://suspended-account.twm.ind.br/,2018-01-08 05:48:26,PayPal,dnserror,0,http://melani.admin.ch/
12536,www.drn.adv.br,http://www.drn.adv.br/7133bb62814bb34de036e76cde76c86f/,2018-01-08 05:48:09,UBS,offline,404,http://melani.admin.ch/
12535,www.gabikabrinzik.com,http://www.gabikabrinzik.com/ceb2c4b93457acc42f855585b3fe57ce/,2018-01-08 05:45:35,UBS,online,302,http://melani.admin.ch/
12534,ubs-ch.net,https://ubs-ch.net,2018-01-08 05:45:25,UBS,offline,500,http://melani.admin.ch/
12533,saneplan.com.br,http://saneplan.com.br/wp-content/themes/Untitled/blu2/blu//6609f/</td,2018-01-07 12:47:57,Swisscom,online,301,http://melani.admin.ch/
12532,thunderbirdbingo.com,http://thunderbirdbingo.com/bloo.php</td,2018-01-07 12:47:51,Swisscom,online,302,http://melani.admin.ch/
12531,nobetcicicekci.com,http://nobetcicicekci.com/img/sample_slides/_notes/workhard,2018-01-07 06:47:41,PayPal,offline,404,http://melani.admin.ch/
12530,operating-intelligent-enhancements.deaftone.com,http://operating-intelligent-enhancements.deaftone.com/cutomer/nummer-translated/deskscene-management/,2018-01-07 06:44:06,Apple,dnserror,0,http://melani.admin.ch/
