subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
010.162.008.016;255.255.255.240;010.162.008.031;undef;Lachen (SZ) Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;undef;0;0;0;2018-03-21 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
010.162.009.000;255.255.255.0;010.162.009.255;010.162.009.254;Lachen (SZ) IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:15:54
010.162.010.000;255.255.255.0;010.162.010.255;010.162.010.254;Lachen (SZ) Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:15:59
010.162.011.000;255.255.255.240;010.162.011.015;010.162.011.014;Lachen (SZ) AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:01
010.162.032.000;255.255.255.252;010.162.032.003;undef;Zuerich Beratungscenter chiffriert PF Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:01
010.162.032.008;255.255.255.252;010.162.032.011;undef;Zuerich Beratungscenter chiffriert PF Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:02
010.162.032.016;255.255.255.240;010.162.032.031;undef;Zuerich Beratungscenter chiffriert PF Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 17:29:11
010.162.032.176;255.255.255.240;010.162.032.191;010.162.032.190;Zuerich Beratungscenter AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:10
010.162.032.192;255.255.255.240;010.162.032.207;010.162.032.206;Zuerich Beratungscenter Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:11
010.162.032.224;255.255.255.224;010.162.032.255;010.162.032.254;Zuerich Beratungscenter chiffriert PF Netz;zh.post.ch;RSP-Zuerich;postnet;0690;post.ch;undef;blue;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:11
