Liste;No;unknown;Act;Domain;;;;;
BcAuthWhitelist;1551799275;unknown;Add;mirrors.jenkins-ci.org;gro.ic-sniknej.srorrim;;;;
BcPostWhitelist;1551799275;unknown;Add;mirrors.jenkins-ci.org;gro.ic-sniknej.srorrim;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mirrors.jenkins-ci.org;gro.ic-sniknej.srorrim;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pypi.org;gro.ipyp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wireshark.org;gro.krahseriw;;;;
BcAuthWhitelist;1551799275;unknown;Add;maven.springframework.org;gro.krowemarfgnirps.nevam;;;;
BcJavaWhitelist;1551799275;unknown;Add;maven.springframework.org;gro.krowemarfgnirps.nevam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;maven.springframework.org;gro.krowemarfgnirps.nevam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;download.postgresql.org;gro.lqsergtsop.daolnwod;;;;
BcAuthWhitelist2;1551799275;unknown;Add;yum.postgresql.org;gro.lqsergtsop.muy;;;;
BcNoSSLIntercept;1551799341;unknown;Add;yum.postgresql.org;gro.lqsergtsop.muy;;;;yum.postgresql.org
BcAuthWhitelist2;1551799275;unknown;Add;ftp.postgresql.org;gro.lqsergtsop.ptf;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.postgresql.org;gro.lqsergtsop.www;;;;
BcPostWhitelist;1551799275;unknown;Add;www.perl.org;gro.lrep.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.perl.org;gro.lrep.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;osuosl.org;gro.lsouso;;;;
BcAuthWhitelist;1551799275;unknown;Add;deb.debian.org;gro.naibed.bed;;;;
BcPostWhitelist;1551799275;unknown;Add;deb.debian.org;gro.naibed.bed;;;;
BcAuthWhitelist2;1551799275;unknown;Add;deb.debian.org;gro.naibed.bed;;;;
BcAuthWhitelist;1551799275;unknown;Add;security-tracker.debian.org;gro.naibed.rekcart-ytiruces;;;;
BcPostWhitelist;1551799275;unknown;Add;security-tracker.debian.org;gro.naibed.rekcart-ytiruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;security-tracker.debian.org;gro.naibed.rekcart-ytiruces;;;;
BcAuthWhitelist;1551799275;unknown;Add;www.debian.org;gro.naibed.www;;;;
BcPostWhitelist;1551799275;unknown;Add;www.debian.org;gro.naibed.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.debian.org;gro.naibed.www;;;;
BcAuthWhitelist;1551799275;unknown;Add;security.debian.org;gro.naibed.ytiruces;;;;
BcPostWhitelist;1551799275;unknown;Add;security.debian.org;gro.naibed.ytiruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;security.debian.org;gro.naibed.ytiruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;yum.theforeman.org;gro.namerofeht.muy;;;;
BcAuthWhitelist2;1551799275;unknown;Add;search.cpan.org;gro.napc.hcraes;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.cpan.org;gro.napc.www;;;;
BcAuthWhitelist;1551799275;unknown;Add;repo1.maven.org;gro.nevam.1oper;;;;
BcPostWhitelist;1551799275;unknown;Add;repo1.maven.org;gro.nevam.1oper;;;;
BcJavaWhitelist;1551799275;unknown;Add;repo1.maven.org;gro.nevam.1oper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repo1.maven.org;gro.nevam.1oper;;;;
BcAuthWhitelist;1551799275;unknown;Add;repo2.maven.org;gro.nevam.2oper;;;;
BcPostWhitelist;1551799275;unknown;Add;repo2.maven.org;gro.nevam.2oper;;;;
BcJavaWhitelist;1551799275;unknown;Add;repo2.maven.org;gro.nevam.2oper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repo2.maven.org;gro.nevam.2oper;;;;
