Liste;No;unknown;Act;Domain;;;;;
BcJavaWhitelist;1551799341;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
BcNoSSLIntercept;1551799341;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
BcPostWhitelist;1551799275;unknown;Add;postfinance-test.swissquote.ch;hc.etouqssiws.tset-ecnaniftsop;;;;
BcJavaWhitelist;1551799275;unknown;Add;postfinance-test.swissquote.ch;hc.etouqssiws.tset-ecnaniftsop;;;;
BcAuthWhitelist2;1551799275;unknown;Add;postfinance-test.swissquote.ch;hc.etouqssiws.tset-ecnaniftsop;;;;
BcAuthWhitelist2;1551799275;unknown;Add;prospective.ch;hc.evitcepsorp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;prospective.ch;hc.evitcepsorp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pentag.ch;hc.gatnep;;;;
BcNoSSLIntercept;1551799341;unknown;Add;www1.pentag.ch;hc.gatnep.1www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;iris.pentag.ch;hc.gatnep.siri;;;;
BcAuthWhitelist2;1551799275;unknown;Add;solutions.webfg.ch;hc.gfbew.snoitulos;;;;
BcNoSSLIntercept;1551799341;unknown;Add;solutions.webfg.ch;hc.gfbew.snoitulos;;;;
BcPostWhitelist;1551799341;unknown;Add;kapo.sg.ch;hc.gs.opak;;;;
BcNoSSLIntercept;1551799341;unknown;Add;kapo.sg.ch;hc.gs.opak;;;;
BcPostWhitelist;1551799341;unknown;Add;kapo.tg.ch;hc.gt.opak;;;;
BcNoSSLIntercept;1551799341;unknown;Add;kapo.tg.ch;hc.gt.opak;;;;
BcNoSSLIntercept;1551799341;unknown;Add;git.office.glarotech.ch;hc.hcetoralg.eciffo.tig;;;;
BcAuthWhitelist;1551799275;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcPostWhitelist;1551799275;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcAuthWhitelist;1551799341;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcPostWhitelist;1551799341;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcNoSSLIntercept;1551799341;unknown;Add;mirror.switch.ch;hc.hctiws.rorrim;;;;
BcAuthWhitelist;1551799275;unknown;Add;zeus.switch.ch;hc.hctiws.suez;;;;
BcPostWhitelist;1551799275;unknown;Add;zeus.switch.ch;hc.hctiws.suez;;;;
BcAuthWhitelist2;1551799275;unknown;Add;zeus.switch.ch;hc.hctiws.suez;;;;
BcAuthWhitelist;1551799341;unknown;Add;bussenonline.kapo.zh.ch;hc.hz.opak.enilnonessub;;;;
BcPostWhitelist;1551799341;unknown;Add;bussenonline.kapo.zh.ch;hc.hz.opak.enilnonessub;;;;
BcJavaWhitelist;1551799341;unknown;Add;bussenonline.kapo.zh.ch;hc.hz.opak.enilnonessub;;;;
BcNoSSLIntercept;1551799341;unknown;Add;bussenonline.kapo.zh.ch;hc.hz.opak.enilnonessub;;;;
BcNoSSLIntercept;1551799341;unknown;Add;migrosbank.ch;hc.knabsorgim;;;;
BcAuthWhitelist;1551799341;unknown;Add;www.elektro-material.ch;hc.lairetam-ortkele.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;www.elektro-material.ch;hc.lairetam-ortkele.www;;;;
BcSitesViaIPv4;1551799275;unknown;Add;sar-stag.swisscom.ch;hc.mocssiws.gats-ras;;;;
BcAuthWhitelist;1551799275;unknown;Add;sar-stag.swisscom.ch;hc.mocssiws.gats-ras;;;;
BcJavaWhitelist;1551799275;unknown;Add;sar-stag.swisscom.ch;hc.mocssiws.gats-ras;;;;
BcAuthWhitelist2;1551799275;unknown;Add;sar-stag.swisscom.ch;hc.mocssiws.gats-ras;;;;
BcSitesViaIPv4;1551799275;unknown;Add;sar.swisscom.ch;hc.mocssiws.ras;;;;
BcAuthWhitelist;1551799275;unknown;Add;sar.swisscom.ch;hc.mocssiws.ras;;;;
BcJavaWhitelist;1551799275;unknown;Add;sar.swisscom.ch;hc.mocssiws.ras;;;;
BcAuthWhitelist2;1551799275;unknown;Add;sar.swisscom.ch;hc.mocssiws.ras;;;;
BcPostWhitelist;1551799275;unknown;Add;twint-service-test.adnovum.ch;hc.muvonda.tset-ecivres-tniwt;;;;
BcAuthWhitelist2;1551799275;unknown;Add;twint-service-test.adnovum.ch;hc.muvonda.tset-ecivres-tniwt;;;;
BcAuthWhitelist2;1551799275;unknown;Add;admin.ch;hc.nimda;;;;
BcAuthWhitelist2;1551799275;unknown;Add;melani-net.ssl.admin.ch;hc.nimda.lss.ten-inalem;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.edec.ezv.admin.ch;hc.nimda.vze.cede.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;epsipol.nyon.ch;hc.noyn.lopispe;;;;
BcNoSSLIntercept;1551799341;unknown;Add;epsipour.nyon.ch;hc.noyn.ruopispe;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pkg.adfinis-sygroup.ch;hc.puorgys-sinifda.gkp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;startupticker.ch;hc.rekcitputrats;;;;
BcExecutableExceptions;1551799341;unknown;Add;secure.bs.ch;hc.sb.eruces;;;;
BcPostWhitelist;1551799341;unknown;Add;secure.bs.ch;hc.sb.eruces;;;;
BcNoSSLIntercept;1551799341;unknown;Add;secure.bs.ch;hc.sb.eruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wupnet.immoservices.ch;hc.secivresommi.tenpuw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wupnet.immoservices.ch;hc.secivresommi.tenpuw;;;;
BcPostWhitelist;1551799275;unknown;Add;secure.terravis.ch;hc.sivarret.eruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;secure.terravis.ch;hc.sivarret.eruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;praetorians.ch;hc.snairotearp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;barbari.praetorians.ch;hc.snairotearp.irabrab;;;;
BcPostWhitelist;1551799275;unknown;Add;wsspre.swissbankers.ch;hc.sreknabssiws.erpssw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wsspre.swissbankers.ch;hc.sreknabssiws.erpssw;;;;
BcPostWhitelist;1551799341;unknown;Add;wsspre.swissbankers.ch;hc.sreknabssiws.erpssw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wsspre.swissbankers.ch;hc.sreknabssiws.erpssw;;;;
BcPostWhitelist;1551799275;unknown;Add;wssbackup.swissbankers.ch;hc.sreknabssiws.pukcabssw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wssbackup.swissbankers.ch;hc.sreknabssiws.pukcabssw;;;;
BcPostWhitelist;1551799341;unknown;Add;wssbackup.swissbankers.ch;hc.sreknabssiws.pukcabssw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wssbackup.swissbankers.ch;hc.sreknabssiws.pukcabssw;;;;
BcPostWhitelist;1551799275;unknown;Add;wss.swissbankers.ch;hc.sreknabssiws.ssw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wss.swissbankers.ch;hc.sreknabssiws.ssw;;;;
BcPostWhitelist;1551799341;unknown;Add;wss.swissbankers.ch;hc.sreknabssiws.ssw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wss.swissbankers.ch;hc.sreknabssiws.ssw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;usu-ei-int.pnet.ch;hc.tenp.tni-ie-usu;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dws.paynet.ch;hc.tenyap.swd;;;;
BcNoSSLIntercept;1551799341;unknown;Add;dws.paynet.ch;hc.tenyap.swd;;;;
BcNoSSLIntercept;1551799341;unknown;Add;portal-cert.paynet.ch;hc.tenyap.trec-latrop;;;;
BcNoSSLIntercept;1551799341;unknown;Add;dws-cert.paynet.ch;hc.tenyap.trec-swd;;;;
BcNoSSLIntercept;1551799341;unknown;Add;portal-test-cert.paynet.ch;hc.tenyap.trec-tset-latrop;;;;
BcNoSSLIntercept;1551799341;unknown;Add;dws-test-cert.paynet.ch;hc.tenyap.trec-tset-swd;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dws-test.paynet.ch;hc.tenyap.tset-swd;;;;
BcNoSSLIntercept;1551799341;unknown;Add;dws-test.paynet.ch;hc.tenyap.tset-swd;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.finanzprodukt.ch;hc.tkudorpznanif.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;twint.ch;hc.tniwt;;;;
BcAuthWhitelist2;1551799275;unknown;Add;service-pat.twint.ch;hc.tniwt.tap-ecivres;;;;
BcAuthWhitelist2;1551799275;unknown;Add;service-int.twint.ch;hc.tniwt.tni-ecivres;;;;
BcAuthWhitelist;1551799275;unknown;Add;melbl.govcert.ch;hc.trecvog.lblem;;;;
BcUntrustedIssuerList;1551799275;unknown;Add;melbl.govcert.ch;hc.trecvog.lblem;;;;
BcNoSSLIntercept;1551799275;unknown;Add;melbl.govcert.ch;hc.trecvog.lblem;;;;
BcAuthWhitelist2;1551799275;unknown;Add;melbl.govcert.ch;hc.trecvog.lblem;;;;
BcAuthWhitelist;1551799275;unknown;Add;nemesis.govcert.ch;hc.trecvog.sisemen;;;;
BcUntrustedIssuerList;1551799275;unknown;Add;nemesis.govcert.ch;hc.trecvog.sisemen;;;;
BcNoSSLIntercept;1551799275;unknown;Add;nemesis.govcert.ch;hc.trecvog.sisemen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nemesis.govcert.ch;hc.trecvog.sisemen;;;;
BcAuthWhitelist;1551799341;unknown;Add;emm01.post.ch;hc.tsop.10mme;;;;
BcNoSSLIntercept;1551799341;unknown;Add;emm01.post.ch;hc.tsop.10mme;;;;
BcAuthWhitelist;1551799275;unknown;Add;wsbc.post.ch;hc.tsop.cbsw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wsbc.post.ch;hc.tsop.cbsw;;;;
BcAuthWhitelist;1551799341;unknown;Add;wsbc.post.ch;hc.tsop.cbsw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wsbc.post.ch;hc.tsop.cbsw;;;;
BcExecutableExceptions;1551799341;unknown;Add;ordnungsbussen.lu.ch;hc.ul.nessubsgnundro;;;;
BcSitesViaIPv4;1551799341;unknown;Add;ordnungsbussen.lu.ch;hc.ul.nessubsgnundro;;;;
BcPostWhitelist;1551799341;unknown;Add;ordnungsbussen.lu.ch;hc.ul.nessubsgnundro;;;;
BcNoSSLIntercept;1551799341;unknown;Add;ordnungsbussen.lu.ch;hc.ul.nessubsgnundro;;;;
BcAuthWhitelist2;1551799275;unknown;Add;valuu.ch;hc.uulav;;;;
BcPostException;1551799275;unknown;Add;test.valuu.ch;hc.uulav.tset;;;;
BcAuthWhitelist2;1551799275;unknown;Add;test.valuu.ch;hc.uulav.tset;;;;
BcPostException;1551799275;unknown;Add;dev.valuu.ch;hc.uulav.ved;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dev.valuu.ch;hc.uulav.ved;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dev.valuu.ch;hc.uulav.ved;;;;
BcAuthWhitelist;1551799275;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcPostWhitelist;1551799275;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcAuthWhitelist;1551799341;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcPostWhitelist;1551799341;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pf479.smsbox.ch;hc.xobsms.974fp;;;;
BcAuthWhitelist;1551799275;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcPostWhitelist;1551799275;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcAuthWhitelist2;1551799275;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcAuthWhitelist;1551799341;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcPostWhitelist;1551799341;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcNoSSLIntercept;1551799341;unknown;Add;scinf.smsbox.ch;hc.xobsms.fnics;;;;
BcAuthWhitelist2;1551799275;unknown;Add;smarx.ch;hc.xrams;;;;
BcNoSSLIntercept;1551799341;unknown;Add;smarx.ch;hc.xrams;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wf.smarx.ch;hc.xrams.fw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;wf.smarx.ch;hc.xrams.fw;;;;
BcAuthWhitelist2;1551799341;unknown;Add;wf.smarx.ch;hc.xrams.fw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wf.smarx.ch;hc.xrams.fw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wf.smarx.ch;hc.xrams.fw;;;;
BcAuthWhitelist2;1551799341;unknown;Add;pf.wf.smarx.ch;hc.xrams.fw.fp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pf.wf.smarx.ch;hc.xrams.fw.fp;;;;
BcAuthWhitelist2;1551799341;unknown;Add;pf.test.wf.smarx.ch;hc.xrams.fw.tset.fp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pf.test.wf.smarx.ch;hc.xrams.fw.tset.fp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;prodpost.loyalty.ch;hc.ytlayol.tsopdorp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;testpost.loyalty.ch;hc.ytlayol.tsoptset;;;;
BcPostWhitelist;1551799275;unknown;Add;www.kof.ethz.ch;hc.zhte.fok.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.kof.ethz.ch;hc.zhte.fok.www;;;;
BcPostWhitelist;1551799275;unknown;Add;debian.ethz.ch;hc.zhte.naibed;;;;
BcAuthWhitelist2;1551799275;unknown;Add;debian.ethz.ch;hc.zhte.naibed;;;;
BcPostWhitelist;1551799275;unknown;Add;stat.ethz.ch;hc.zhte.tats;;;;
BcAuthWhitelist2;1551799275;unknown;Add;stat.ethz.ch;hc.zhte.tats;;;;
BcPostWhitelist;1551799341;unknown;Add;epsipaycard.sz.ch;hc.zs.dracyapispe;;;;
BcNoSSLIntercept;1551799341;unknown;Add;epsipaycard.sz.ch;hc.zs.dracyapispe;;;;
BcAuthWhitelist2;1551799275;unknown;Add;insideparadeplatz.ch;hc.ztalpedarapedisni;;;;
BcAuthWhitelist2;1551799275;unknown;Add;sinkhole.malware.watch;hctaw.erawlam.elohknis;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.stats.ox.ac.uk;ku.ca.xo.stats.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wssec.fashioncheque.nl;ln.euqehcnoihsaf.cessw;;;;
BcNoSSLIntercept;1551799341;unknown;Add;wssec-uat.fashioncheque.nl;ln.euqehcnoihsaf.tau-cessw;;;;
BcAuthWhitelist2;1551799275;unknown;Add;360.com;moc.063;;;;
BcAuthWhitelist2;1551799275;unknown;Add;postfinance.computercheck24.com;moc.42kcehcretupmoc.ecnaniftsop;;;;
BcAuthWhitelist2;1551799275;unknown;Add;int.computercheck24.com;moc.42kcehcretupmoc.tni;;;;
BcAuthWhitelist2;1551799275;unknown;Add;packages.icinga.com;moc.agnici.segakcap;;;;
BcNoSSLIntercept;1551799341;unknown;Add;fo2.frama.com;moc.amarf.2of;;;;
BcAuthWhitelist2;1551799275;unknown;Add;grafana.com;moc.anafarg;;;;
BcNoSSLIntercept;1551799341;unknown;Add;grafana.com;moc.anafarg;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.finextra.com;moc.artxenif.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repos.influxdata.com;moc.atadxulfni.soper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;axa.com;moc.axa;;;;
BcAuthWhitelist2;1551799275;unknown;Add;moneycab.com;moc.bacyenom;;;;
BcAuthWhitelist;1551799275;unknown;Add;packages.gitlab.com;moc.baltig.segakcap;;;;
BcNoSSLIntercept;1551799275;unknown;Add;packages.gitlab.com;moc.baltig.segakcap;;;;
BcAuthWhitelist2;1551799275;unknown;Add;packages.gitlab.com;moc.baltig.segakcap;;;;
BcAuthWhitelist2;1551799275;unknown;Add;symcb.com;moc.bcmys;;;;
BcAuthWhitelist2;1551799275;unknown;Add;toolkit.dnb.com;moc.bnd.tikloot;;;;
BcAuthWhitelist2;1551799275;unknown;Add;github.com;moc.buhtig;;;;
BcNoSSLIntercept;1551799341;unknown;Add;github.com ;moc.buhtig;;;;
BcAuthWhitelist2;1551799275;unknown;Add;symantec.com;moc.cetnamys;;;;
BcNoSSLIntercept;1551799341;unknown;Add;symantec.com;moc.cetnamys;;;;
BcAuthWhitelist2;1551799275;unknown;Add;liveupdate.symantec.com;moc.cetnamys.etadpuevil;;;;
BcNoSSLIntercept;1551799341;unknown;Add;liveupdate.symantec.com;moc.cetnamys.etadpuevil;;;;
BcAuthWhitelist2;1551799275;unknown;Add;fileconnect.symantec.com;moc.cetnamys.tcennocelif;;;;
BcNoSSLIntercept;1551799341;unknown;Add;fileconnect.symantec.com;moc.cetnamys.tcennocelif;;;;
BcNoSSLIntercept;1551799341;unknown;Add;newrelic.com;moc.cilerwen;;;;
BcAuthWhitelist2;1551799275;unknown;Add;gstatic.com;moc.citatsg;;;;
BcAuthWhitelist2;1551799275;unknown;Add;ssl.gstatic.com;moc.citatsg.lss;;;;
BcAuthWhitelist2;1551799275;unknown;Add;maps.gstatic.com;moc.citatsg.spam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;fonts.gstatic.com;moc.citatsg.stnof;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.gstatic.com;moc.citatsg.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mzstatic.com;moc.citatszm;;;;
BcAuthWhitelist2;1551799275;unknown;Add;emc.com;moc.cme;;;;
BcNoSSLIntercept;1551799341;unknown;Add;emc.com;moc.cme;;;;
BcAuthWhitelist2;1551799275;unknown;Add;fileservice.emc.com;moc.cme.ecivreselif;;;;
BcNoSSLIntercept;1551799341;unknown;Add;fileservice.emc.com;moc.cme.ecivreselif;;;;
BcAuthWhitelist2;1551799275;unknown;Add;ftp.emc.com;moc.cme.ptf;;;;
BcNoSSLIntercept;1551799341;unknown;Add;ftp.emc.com;moc.cme.ptf;;;;
BcAuthWhitelist2;1551799275;unknown;Add;replicated.com;moc.detacilper;;;;
BcNoSSLIntercept;1551799341;unknown;Add;ondemand.com;moc.dnamedno;;;;
BcNoSSLIntercept;1551799341;unknown;Add;hana.ondemand.com;moc.dnamedno.anah;;;;
BcNoSSLIntercept;1551799341;unknown;Add;cloudanalytics.accounts.ondemand.com;moc.dnamedno.stnuocca.scitylanaduolc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;homesend.com;moc.dnesemoh;;;;
BcNoSSLIntercept;1551799341;unknown;Add;homesend.com;moc.dnesemoh;;;;
BcAuthWhitelist2;1551799275;unknown;Add;maxmind.com;moc.dnimxam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;zeroturnaround.com;moc.dnuoranrutorez;;;;
BcNoSSLIntercept;1551799275;unknown;Add;media.www1.good.com;moc.doog.1www.aidem;;;;
BcAuthWhitelist2;1551799275;unknown;Add;media.www1.good.com;moc.doog.1www.aidem;;;;
BcNoSSLIntercept;1551799275;unknown;Add;media.good.com;moc.doog.aidem;;;;
BcAuthWhitelist2;1551799275;unknown;Add;media.good.com;moc.doog.aidem;;;;
BcAuthWhitelist2;1551799275;unknown;Add;paysafecard.com;moc.dracefasyap;;;;
BcNoSSLIntercept;1551799341;unknown;Add;paysafecard.com;moc.dracefasyap;;;;
BcPostWhitelist;1551799275;unknown;Add;infinity.sungard.com;moc.dragnus.ytinifni;;;;
BcAuthWhitelist2;1551799275;unknown;Add;infinity.sungard.com;moc.dragnus.ytinifni;;;;
BcNoSSLIntercept;1551799341;unknown;Add;m42cloud.com;moc.duolc24m;;;;
BcNoSSLIntercept;1551799341;unknown;Add;mdm006.m42cloud.com;moc.duolc24m.600mdm;;;;
BcNoSSLIntercept;1551799341;unknown;Add;awcm-ch.m42cloud.com;moc.duolc24m.hc-mcwa;;;;
BcAuthWhitelist2;1551799275;unknown;Add;adobe.com;moc.eboda;;;;
BcAuthWhitelist2;1551799275;unknown;Add;assets.adobe.com;moc.eboda.stessa;;;;
BcAuthWhitelist2;1551799275;unknown;Add;youtube.com;moc.ebutuoy;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mcsvc.dynatrace.com;moc.ecartanyd.cvscm;;;;
BcNoSSLIntercept;1551799341;unknown;Add;mcsvc.dynatrace.com;moc.ecartanyd.cvscm;;;;
BcAuthWhitelist2;1551799275;unknown;Add;live.dynatrace.com;moc.ecartanyd.evil;;;;
BcNoSSLIntercept;1551799341;unknown;Add;live.dynatrace.com;moc.ecartanyd.evil;;;;
BcAuthWhitelist2;1551799275;unknown;Add;app.smallinvoice.com;moc.eciovnillams.ppa;;;;
BcAuthWhitelist2;1551799275;unknown;Add;stage-app.smallinvoice.com;moc.eciovnillams.ppa-egats;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dev-app.smallinvoice.com;moc.eciovnillams.ppa-ved;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nina-nuance.com;moc.ecnaun-anin;;;;
BcNoSSLIntercept;1551799341;unknown;Add;nina-nuance.com;moc.ecnaun-anin;;;;
BcAuthWhitelist2;1551799275;unknown;Add;cloudian-support.force.com;moc.ecrof.troppus-naiduolc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;nodesource.com;moc.ecruosedon;;;;
BcAuthWhitelist2;1551799275;unknown;Add;code.googlesource.com;moc.ecruoselgoog.edoc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;go.googlesource.com;moc.ecruoselgoog.og;;;;
BcNoSSLIntercept;1551799341;unknown;Add;go.googlesource.com;moc.ecruoselgoog.og;;;;
BcAuthWhitelist;1551799275;unknown;Add;repository.springsource.com;moc.ecruosgnirps.yrotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repository.springsource.com;moc.ecruosgnirps.yrotisoper;;;;
BcAuthWhitelist;1551799341;unknown;Add;repository.springsource.com;moc.ecruosgnirps.yrotisoper;;;;
BcNoSSLIntercept;1551799341;unknown;Add;repository.springsource.com;moc.ecruosgnirps.yrotisoper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;downloads.sonarsource.com;moc.ecruosranos.sdaolnwod;;;;
BcAuthWhitelist2;1551799275;unknown;Add;binaries.sonarsource.com;moc.ecruosranos.seiranib;;;;
BcAuthWhitelist2;1551799275;unknown;Add;malc0de.com;moc.ed0clam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;backup.precision.epayworldwide.com;moc.ediwdlrowyape.noisicerp.pukcab;;;;
BcNoSSLIntercept;1551799341;unknown;Add;backup.precision.epayworldwide.com;moc.ediwdlrowyape.noisicerp.pukcab;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mcafee.com;moc.eefacm;;;;
BcAuthWhitelist2;1551799275;unknown;Add;tenable.com;moc.elbanet;;;;
BcNoSSLIntercept;1551799341;unknown;Add;tenable.com;moc.elbanet;;;;
BcAuthWhitelist;1551799275;unknown;Add;pkg.oracle.com;moc.elcaro.gkp;;;;
BcPostWhitelist;1551799275;unknown;Add;pkg.oracle.com;moc.elcaro.gkp;;;;
BcJavaWhitelist;1551799275;unknown;Add;pkg.oracle.com;moc.elcaro.gkp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pkg.oracle.com;moc.elcaro.gkp;;;;
BcAuthWhitelist;1551799275;unknown;Add;maven.oracle.com;moc.elcaro.nevam;;;;
BcPostWhitelist;1551799275;unknown;Add;maven.oracle.com;moc.elcaro.nevam;;;;
BcJavaWhitelist;1551799275;unknown;Add;maven.oracle.com;moc.elcaro.nevam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;maven.oracle.com;moc.elcaro.nevam;;;;
BcAuthWhitelist;1551799275;unknown;Add;login.oracle.com;moc.elcaro.nigol;;;;
BcPostWhitelist;1551799275;unknown;Add;login.oracle.com;moc.elcaro.nigol;;;;
BcJavaWhitelist;1551799275;unknown;Add;login.oracle.com;moc.elcaro.nigol;;;;
BcAuthWhitelist2;1551799275;unknown;Add;login.oracle.com;moc.elcaro.nigol;;;;
BcAuthWhitelist;1551799275;unknown;Add;support.oracle.com;moc.elcaro.troppus;;;;
BcPostWhitelist;1551799275;unknown;Add;support.oracle.com;moc.elcaro.troppus;;;;
BcJavaWhitelist;1551799275;unknown;Add;support.oracle.com;moc.elcaro.troppus;;;;
BcAuthWhitelist2;1551799275;unknown;Add;support.oracle.com;moc.elcaro.troppus;;;;
BcAuthWhitelist;1551799275;unknown;Add;transport.oracle.com;moc.elcaro.tropsnart;;;;
BcPostWhitelist;1551799275;unknown;Add;transport.oracle.com;moc.elcaro.tropsnart;;;;
BcJavaWhitelist;1551799275;unknown;Add;transport.oracle.com;moc.elcaro.tropsnart;;;;
BcAuthWhitelist2;1551799275;unknown;Add;transport.oracle.com;moc.elcaro.tropsnart;;;;
BcAuthWhitelist;1551799275;unknown;Add;www.oracle.com;moc.elcaro.www;;;;
BcPostWhitelist;1551799275;unknown;Add;www.oracle.com;moc.elcaro.www;;;;
BcJavaWhitelist;1551799275;unknown;Add;www.oracle.com;moc.elcaro.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.oracle.com;moc.elcaro.www;;;;
BcAuthWhitelist;1551799275;unknown;Add;linux.oracle.com;moc.elcaro.xunil;;;;
BcPostWhitelist;1551799275;unknown;Add;linux.oracle.com;moc.elcaro.xunil;;;;
BcJavaWhitelist;1551799275;unknown;Add;linux.oracle.com;moc.elcaro.xunil;;;;
BcAuthWhitelist2;1551799275;unknown;Add;linux.oracle.com;moc.elcaro.xunil;;;;
BcAuthWhitelist;1551799275;unknown;Add;container-registry.oracle.com;moc.elcaro.yrtsiger-reniatnoc;;;;
BcPostWhitelist;1551799275;unknown;Add;container-registry.oracle.com;moc.elcaro.yrtsiger-reniatnoc;;;;
BcJavaWhitelist;1551799275;unknown;Add;container-registry.oracle.com;moc.elcaro.yrtsiger-reniatnoc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;container-registry.oracle.com;moc.elcaro.yrtsiger-reniatnoc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;google.com;moc.elgoog;;;;
BcAuthWhitelist2;1551799275;unknown;Add;picasaweb.google.com;moc.elgoog.bewasacip;;;;
BcAuthWhitelist2;1551799275;unknown;Add;storage.cloud.google.com;moc.elgoog.duolc.egarots;;;;
BcAuthWhitelist2;1551799275;unknown;Add;finance.google.com;moc.elgoog.ecnanif;;;;
BcSitesViaIPv4;1551799341;unknown;Add;code.google.com;moc.elgoog.edoc;;;;
BcAuthWhitelist2;1551799341;unknown;Add;code.google.com;moc.elgoog.edoc;;;;
BcAuthWhitelist;1551799341;unknown;Add;code.google.com;moc.elgoog.edoc;;;;
BcNoSSLIntercept;1551799341;unknown;Add;code.google.com;moc.elgoog.edoc;;;;
BcAuthWhitelist2;1551799275;unknown;Add;drive.google.com;moc.elgoog.evird;;;;
BcAuthWhitelist2;1551799275;unknown;Add;dl.google.com;moc.elgoog.ld;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mail.google.com;moc.elgoog.liam;;;;
